rho,b_plus,intensity,termination_reason,shell_crossing_count
0.0,0.0,0.0,axis,0
0.7272727272727273,0.7421849255502782,0.0,horizon,1
1.4545454545454546,1.4838991020311918,0.0,horizon,1
2.1818181818181817,2.2246732718228737,0.0,horizon,1
2.909090909090909,2.964041149194301,0.007682386469315855,horizon,1
3.6363636363636367,3.7015408788683684,0.015864710165716184,horizon,1
4.043167763178126,4.1130808666321625,0.016892686092515107,horizon,1
4.363636363636363,4.4367164621376025,0.016765520301765233,horizon,1
5.083066496709783,5.161237581803259,0.0,near_critical,0
5.090909090909091,5.169119140381503,0.031069752269309834,escape,2
5.818181818181818,5.898308726390737,0.01643288853399385,escape,0
6.545454545454546,6.623854874574856,0.014582070316137495,escape,0
7.272727272727273,7.345338281904936,0.012990401964876445,escape,0
8.0,8.06235181230587,0.01151839542360397,escape,0
