n,b_n_over_M,bprime_n_over_M,reference_b_n_over_M,reference_bprime_n_over_M,delta_b_n_over_M,delta_bprime_n_over_M
1,0.07154764223846918,0.07585420580269865,0.072,0.076,-0.0004523577615308111,-0.00014579419730134657
2,1.0774347284733494,1.5120952187110999,1.077,1.512,0.00043472847334946607,9.521871109985369e-05
3,2.9738589469367396,4.373309397625576,2.974,4.373,-0.00014105306326062106,0.0003093976255756914
4,4.41403781396311,5.145662544008277,4.414,5.146,3.781396311008933e-05,-0.00033745599172263496
5,4.9947747840250765,5.193907747737326,4.995,5.194,-0.00022521597492364265,-9.22522626742861e-05
