b_over_M,Iobs_over_I0,intersection_count,r1_over_M,r2_over_M,r3_over_M,phi_out,phi_tot,termination_reason
0.0,0.0,0,nan,nan,nan,0.0,0.0,axis
0.005505505506,0,0,nan,nan,nan,0.4683358605244684,0.4710886170424235,no_disk_intersection
0.011011011011,0,0,nan,nan,nan,0.6790017424989845,0.6845072607492686,no_disk_intersection
0.016516516517,0,0,nan,nan,nan,0.8246639703648277,0.8329222607777567,no_disk_intersection
0.022022022022,0,0,nan,nan,nan,0.9394877708365147,0.9504988490564814,no_disk_intersection
0.027527527528,0,0,nan,nan,nan,1.035885410293272,1.04964929718095,no_disk_intersection
0.033033033033,0,0,nan,nan,nan,1.1198225737803236,1.1363392954109375,no_disk_intersection
0.038538538539,0,0,nan,nan,nan,1.1946703245352137,1.2139399122008787,no_disk_intersection
0.044044044044,0,0,nan,nan,nan,1.2625406832582957,1.2845631734664238,no_disk_intersection
0.04954954955,0,0,nan,nan,nan,1.32485472210209,1.3496301565778641,no_disk_intersection
0.055055055055,0,0,nan,nan,nan,1.38261991901479,1.4101483446997063,no_disk_intersection
0.060560560561,0,0,nan,nan,nan,1.4365796559399386,1.4668611249944161,no_disk_intersection
0.066066066066,0,0,nan,nan,nan,1.4873000380966406,1.5203346078987,no_disk_intersection
0.066547642238,0,0,nan,nan,nan,1.491597960474397,1.5248733517039286,no_disk_intersection
0.069394360456,0,0,nan,nan,nan,1.5165816595325912,1.551280616932813,no_disk_intersection
0.070471001347,0,0,nan,nan,nan,1.5258489747967041,1.561086335496718,no_disk_intersection
0.070547642238,0,0,nan,nan,nan,1.5265049915844655,1.5617806787248776,no_disk_intersection
0.070854205803,0,0,nan,nan,nan,1.5291242258154107,1.564553218847598,no_disk_intersection
0.071116985882,0,0,nan,nan,nan,1.5313632567489144,1.5669236606522445,no_disk_intersection
0.071547642238,0,0,nan,nan,nan,1.5350205589486052,1.5707963255020356,no_disk_intersection
0.071571571572,2.7173852907500338e-08,1,333.28894789553493,nan,nan,1.5352233369576749,1.571011070105683,horizon_through
0.071978298595,0.00017243695242377333,1,18.658226921341768,nan,nan,1.5386629304471244,1.574654060065982,horizon_through
0.072547642238,0.0024787552268579196,1,8.119451962071594,nan,nan,1.5434556172652991,1.5797314654684338,horizon_through
0.07262428313,0.0031580865242177027,1,7.552010985066757,nan,nan,1.5440988195050287,1.5804129945050427,horizon_through
0.073700924021,0.036455942781751766,1,3.8502982623470245,nan,nan,1.5530860685447676,1.5899386546225753,horizon_through
0.074777564912,0.0,1,2.616654999143123,nan,nan,1.5619845278947238,1.5993755277210797,horizon_through
0.074854205803,0.0,1,2.559475843548122,nan,nan,1.5626146379710668,1.6000439649875722,horizon_through
