rho,alpha,b,Iobs_over_I0,direct,lensing_ring,photon_ring,intersection_count,termination_reason,max_phi_reached,phi_end
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,axis,False,0.0
0.202961644115,0.01344412890838132,0.22321153253033263,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.0928770319261477
0.40592328823,0.026883399665355183,0.4463020887065184,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.18600087453939415
0.608884932345,0.04031296464448264,0.6691510197325409,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.27962262042429764
0.811846576461,0.05372799721238826,0.8916383298627875,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.374002115617761
1.014808220576,0.06712370208321962,1.1136449977783736,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.46941282647917926
1.217769864691,0.08049532550523643,1.3350532918669156,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.5661473416349024
1.420731508806,0.09383816522466602,1.5557470774554378,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.6645238059900949
1.623693152921,0.10714758017648122,1.7756121141741297,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.7648936723964368
1.826654797036,0.12041899985305746,1.9945363417147415,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.8676512914181475
2.029616441152,0.13364793330532565,2.212410152382766,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.9732460627610144
2.232578085267,0.14682997773404208,2.4291266489760224,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.0821981838960313
2.435539729382,0.15996082663402938,2.644581886699825,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.195119515647623
2.638501373497,0.17303627745611155,2.85867509795697,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.3127418567835412
2.841463017612,0.1860522387581198,3.0713088990618194,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.435956183518848
3.044424661727,0.19900473681950742,3.282389478083875,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.5658685480120507
3.247386305843,0.2118899216992637,3.491826763216,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.7038820836699946
3.450347949958,0.22470407272097698,3.6995345712353753,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.8518214579851662
3.653309594073,0.23744360337487502,3.90543073582554,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.01212943703261
3.856271238188,0.2501050656290205,4.109437215665591,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.1881926491674166
3.974665530589,0.25745354558481787,4.227538792961494,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.3000325955503955
4.059232882303,0.2626851536485013,4.311480182395626,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.384914543250309
4.262194526418,0.27518070692438473,4.511490088703834,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.6098023998488755
4.282533917064,0.27642814574348196,4.5314190440002085,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.6343072885248286
4.465156170533,0.287588712818694,4.70940171693542,0.01612287637373796,0.01612287637373796,0.0,0.0,1,black_hole_horizon,False,2.8752472591836185
4.518861987007,0.2908569905179106,4.761412384543338,0.016429067516390936,0.016429067516390936,0.0,0.0,1,black_hole_horizon,False,2.954751523416409
4.668117814649,0.29990630853544953,4.90515420875924,0.017149024136672398,0.017149024136672398,0.0,0.0,1,black_hole_horizon,False,3.2040272936405234
4.700273782098,0.3018493531420338,4.935966074634513,0.01728077362905278,0.01728077362905278,0.0,0.0,1,black_hole_horizon,False,3.264527868005232
4.839530364723,0.3102367835837493,5.068754592895684,0.017765688665580374,0.017765688665580374,0.0,0.0,1,black_hole_horizon,False,3.5659705966569573
4.871079458764,0.31213078253089754,5.0986910765441,0.017857553240109098,0.017857553240109098,0.0,0.0,1,black_hole_horizon,False,3.6457729020895653
4.946427470253,0.31664480603899503,5.169965638502125,0.018052364497656816,0.018052364497656816,0.0,0.0,1,black_hole_horizon,False,3.8608440927069947
5.028484569137,0.3215456150361545,5.2472280645859195,0.018227753684156685,0.018227753684156685,0.0,0.0,1,black_hole_horizon,False,4.150506180527626
5.074041102879,0.32425957538051303,5.289960197226005,0.018309799201130676,0.018309799201130676,0.0,0.0,1,black_hole_horizon,False,4.349541365799209
5.091473809527,0.3252967959630373,5.306281277390445,0.01833845734422859,0.01833845734422859,0.0,0.0,1,black_hole_horizon,False,4.4360159235471395
5.139826047894,0.32816988374610334,5.351460600061382,0.01841034579154664,0.01841034579154664,0.0,0.0,1,black_hole_horizon,False,4.71820749579848
5.176942529068,0.33037153885423504,5.386051764059019,0.018458248828405775,0.018458248828405775,0.0,0.0,1,black_hole_horizon,False,4.9977424995861695
5.205434140238,0.33205933719617026,5.412551830367262,0.018490918807615674,0.018490918807615674,0.0,0.0,1,black_hole_horizon,False,5.275148089660638
5.227305068768,0.3333536057036562,5.43286265652154,0.01851366127768045,0.01851366127768045,0.0,0.0,1,black_hole_horizon,False,5.550845465773256
5.244093782888,0.3343463348708062,5.448435290475349,0.018529779471305897,0.018529779471305897,0.0,0.0,1,black_hole_horizon,False,5.825171591149325
5.256981252272,0.33510791638334797,5.460378344115559,0.01854137914973272,0.01854137914973272,0.0,0.0,1,black_hole_horizon,False,6.0983960821232985
5.266874021065,0.33569225298460853,5.469539711953606,0.018549834447746476,0.018549834447746476,0.0,0.0,1,black_hole_horizon,False,6.3707345567842
5.274467976981,0.3361406439397061,5.476568425491476,0.018556063707508303,0.018556063707508303,0.0,0.0,1,black_hole_horizon,False,6.642359373022208
5.277002746994,0.33629028012110174,5.478913789508779,0.018558092866237365,0.018558092866237365,0.0,0.0,1,black_hole_horizon,False,6.751599388131318
5.280297302186,0.3364847456373731,5.481961615166624,0.018560692993719295,0.018560692993719295,0.0,0.0,1,black_hole_horizon,False,6.913408420181414
5.284772049303,0.33674883119205806,5.486100252148943,0.018564157388076128,0.018564157388076128,0.0,0.0,1,black_hole_horizon,False,7.183992418265122
5.288206985776,0.33695151725933065,5.489276402865402,0.018566764510539183,0.018566764510539183,0.0,0.0,1,black_hole_horizon,False,7.454200992845894
5.290843735578,0.3371070850226298,5.491714042841233,0.018568735157350132,0.018568735157350132,0.0,0.0,1,black_hole_horizon,False,7.724107624964242
5.292867775781,0.3372264915221498,5.4935849705028525,0.018570229879089725,0.018570229879089725,0.0,0.0,1,black_hole_horizon,False,7.9937734690098186
5.294421483586,0.33731814438653823,5.495020985590006,0.01857136669163638,0.01857136669163638,0.0,0.0,1,black_hole_horizon,False,8.263250029075824
5.295614151566,0.3373884955978146,5.496123215525948,0.018572233119149337,0.018572233119149337,0.0,0.0,1,black_hole_horizon,False,8.532580794858779
5.296529675648,0.337442496727749,5.496969261566791,0.01857289455251372,0.01857289455251372,0.0,0.0,1,black_hole_horizon,False,8.801802106476284
5.297232456604,0.33748394806202153,5.497618676681812,0.01857340013263543,0.01857340013263543,0.0,0.0,1,black_hole_horizon,False,9.070943621777598
5.297771930205,0.33751576640519554,5.498117166000006,0.018573786961471293,0.018573786961471293,0.0,0.0,1,black_hole_horizon,False,9.340028745773427
5.298186044679,0.337540190540781,5.49849980850511,0.018574083155042557,0.018574083155042557,0.0,0.0,1,black_hole_horizon,False,9.609075231953879
5.298503930109,0.3375589388813687,5.4987935285278216,0.01857431008146095,0.01857431008146095,0.0,0.0,1,black_hole_horizon,False,9.878095999618303
5.298747947532,0.337573330445466,5.49901899199908,0.018574484017279704,0.018574484017279704,0.0,0.0,1,black_hole_horizon,False,10.147100076308062
5.298935261881,0.3375843776992073,5.499192061516703,0.01857461738252401,0.01857461738252401,0.0,0.0,1,black_hole_horizon,False,10.416093533976602
5.299079049423,0.33759285781075105,5.499324912976319,0.01857471966739518,0.01857471966739518,0.0,0.0,1,black_hole_horizon,False,10.685080324021115
5.299189424616,0.3375993673386995,5.4994268925328,0.018574798131064836,0.018574798131064836,0.0,0.0,1,black_hole_horizon,False,10.954062945251291
5.299274151588,0.3376043642075565,5.499505174313713,0.018574858330692636,0.018574858330692636,0.0,0.0,1,black_hole_horizon,False,11.223042933854343
5.299339190294,0.33760819992679886,5.4995652652379405,0.018574904523166444,0.018574904523166444,0.0,0.0,1,black_hole_horizon,False,11.492021220917016
5.299389115759,0.33761114432134115,5.4996113924875125,0.01857493997092454,0.01857493997092454,0.0,0.0,1,black_hole_horizon,False,11.760998380747582
5.29942743989,0.3376134045137296,5.499646800909054,0.01857496717519631,0.01857496717519631,0.0,0.0,1,black_hole_horizon,False,12.029974733575912
5.299456858526,0.3376151394958982,5.499673981310698,0.018574988054168417,0.018574988054168417,0.0,0.0,1,black_hole_horizon,False,12.298950497670068
5.299479441064,0.337616471313545,5.499694845685978,0.018575004079214568,0.018575004079214568,0.0,0.0,1,black_hole_horizon,False,12.567925799312977
5.299496776029,0.33761749365183186,5.499710861723098,0.018575016379166507,0.018575016379166507,0.0,0.0,1,black_hole_horizon,False,12.836900739289726
5.299510082815,0.3376182784257367,5.499723156052838,0.01857502582017154,0.01857502582017154,0.0,0.0,1,black_hole_horizon,False,13.105875366580552
