rho,alpha,b,Iobs_over_I0,direct,lensing_ring,photon_ring,intersection_count,termination_reason,max_phi_reached,phi_end
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,axis,False,0.0
0.246390098031,0.016274787303302292,0.4142642890107145,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.10120922232146487
0.492780196062,0.03254095780723326,0.8281996261601212,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.20267992953294553
0.739170294093,0.04878992205440588,1.2414783640179516,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.30467811612965345
0.985560392124,0.06501314505486708,1.6537754519678218,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.40747899447002156
1.231950490155,0.0812021729816719,2.064769704693532,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.5113721174186848
1.478340588186,0.09734865922955428,2.474145035314986,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.6166671659796727
1.724730686216,0.11344438963888356,2.8815916422972006,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.7237007159068632
1.971120784247,0.12948130669958907,3.286807140016036,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.8328443805354785
2.217510882278,0.1454515325628781,3.6894976237289603,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.9445148821444214
2.463900980309,0.16134739070752183,4.089378660784825,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.059186806846181
2.71029107834,0.17716142612363928,4.486176200980123,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.1774090982133667
2.956681176371,0.19288642389811111,4.879627400212257,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.2998269705815868
3.203071274402,0.2085154261060943,5.269481352826501,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.4272114732379941
3.449461372433,0.22404174693452372,5.6554997293345535,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.5605005906347165
3.695851470464,0.2394589859849777,6.037457317457426,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.700857707540835
