rho,alpha,b,Iobs_over_I0,direct,lensing_ring,photon_ring,intersection_count,termination_reason,max_phi_reached,phi_end
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,axis,False,0.0
0.168296760164,0.017749517614559993,0.25258729854577555,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.09169803959036348
0.336593520328,0.03548785846379796,0.5049360618348578,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.18364233589241027
0.504890280492,0.053203887952519985,0.7568088792833372,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.2760834681004537
0.673187040657,0.07088655542891205,1.0079705773071876,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.36928085220792684
0.841483800821,0.08852493517026232,1.2581893071908992,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.4635076548856902
1.009780560985,0.10610826620642592,1.5072375968953347,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.5590563500463136
1.178077321149,0.12362599062272742,1.7548933558505724,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.6562452178089844
1.346374081313,0.14106779001359868,2.000940822731945,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.7554261767578174
1.514670841477,0.15842361978708996,2.2451714472594397,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.8569944759454773
1.682967601641,0.17568374105646828,2.4873846982861507,0,0.0,0.0,0.0,0,black_hole_horizon,False,0.9614009796473935
1.851264361806,0.19283874989383679,2.7273887917638655,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.0691680934443037
2.01956112197,0.20987960376112608,2.9650013335574017,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.18091087142038
2.187857882134,0.22679764497849153,3.2000498735371816,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.297365627139007
2.356154642298,0.2435846211295636,3.432372368756319,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.4194296515964853
2.524451402462,0.26023270234904433,3.6618175549602516,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.5482178119115224
2.692748162626,0.2767344954771069,3.888245226973527,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.6851456086556742
2.86104492279,0.29308305510473637,4.111526429753222,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.8320552641125636
3.029341682955,0.3092718915703022,4.331543563019713,0,0.0,0.0,0.0,0,black_hole_horizon,False,1.9914149299241661
3.197638443119,0.3252949759998036,4.548190403357455,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.1666489363805757
3.295811553214,0.33456299749624097,4.672973101871249,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.2780820546281744
3.365935203283,0.3411467425143053,4.761372048554508,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.3627188049119567
3.534231963447,0.3568220877497464,4.971004789603675,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.5872258832345807
3.551097482863,0.35838305186220876,4.991814167083211,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.6117129722469037
3.702528723611,0.3723163678585097,5.177015916382375,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.8527247301969036
3.747061841944,0.3763854852227077,5.230914637719873,0,0.0,0.0,0.0,0,black_hole_horizon,False,2.9323499541402547
3.870825483775,0.3876253931767229,5.379343463400384,0.04095913567207261,0.04095913567207261,0.0,0.0,1,black_hole_horizon,False,3.182308932517469
3.897489364852,0.39003360532395376,5.41105739152813,0.04130149246204899,0.04130149246204899,0.0,0.0,1,black_hole_horizon,False,3.2430429172480557
4.012961585179,0.4004076531704518,5.547312935252317,0.042573186584770946,0.042573186584770946,0.0,0.0,1,black_hole_horizon,False,3.546020612805967
4.039122243939,0.4027454207543786,5.577935902269923,0.04281680138539539,0.04281680138539539,0.0,0.0,1,black_hole_horizon,False,3.626328054802603
4.101601173265,0.40830983473763155,5.650702525723892,0.04333751894640616,0.04333751894640616,0.0,0.0,1,black_hole_horizon,False,3.842951435514555
4.169643309752,0.41433937815239397,5.7293541321098385,0.043812857175081994,0.043812857175081994,0.0,0.0,1,black_hole_horizon,False,4.135107996000973
4.207419004104,0.4176731449537928,5.772751787674415,0.04403833515008425,0.04403833515008425,0.0,0.0,1,black_hole_horizon,False,4.336096916013772
4.22187428733,0.41894624709253564,5.789307624560148,0.04411772984198782,0.04411772984198782,0.0,0.0,1,black_hole_horizon,False,4.423475233040846
4.261968193247,0.42246983669984145,5.835080530467602,0.04431878109656811,0.04431878109656811,0.0,0.0,1,black_hole_horizon,False,4.708823964954123
