rho,b_plus,intensity,termination_reason,shell_crossing_count
0.0,0.0,0.0,axis,0
0.021052631578947368,0.0214865711710207,0.0,horizon,1
0.042105263157894736,0.042973130914287144,0.0,horizon,1
0.08421052631578947,0.08594617040672255,0.0,horizon,1
0.16842105263157894,0.17189160944446588,0.0,horizon,1
0.25263157894736843,0.25783558577536875,0.0,horizon,1
0.3368421052631579,0.3437773681238026,0.0,horizon,1
0.42105263157894735,0.42971622530748044,0.0,horizon,1
0.5052631578947369,0.5156514262685562,0.0,horizon,1
0.5894736842105263,0.6015822401047114,0.0,horizon,1
0.6736842105263158,0.6875079361002275,0.0,horizon,1
0.7578947368421053,0.7734277837570385,0.0,horizon,1
0.8421052631578947,0.859341052825762,0.0,horizon,1
0.9263157894736842,0.9452470133367071,0.0,horizon,1
1.0105263157894737,1.0311449356308535,0.0,horizon,1
1.0947368421052632,1.1170340903907983,0.0,horizon,1
1.1789473684210525,1.202913748671671,0.0,horizon,1
1.263157894736842,1.2887831819320135,0.0,horizon,1
1.3473684210526315,1.3746416620646138,0.0,horizon,1
1.431578947368421,1.4604884614273028,0.0,horizon,1
1.5157894736842106,1.5463228528737032,0.0,horizon,1
1.5999999999999999,1.6321441097839267,0.0,horizon,1
1.6842105263157894,1.717951506095224,0.0,horizon,1
1.768421052631579,1.8037443163325761,0.0,horizon,1
1.8526315789473684,1.8895218156392284,0.0,horizon,1
1.936842105263158,1.975283279807164,0.0,horizon,1
2.0210526315789474,2.061027985307512,0.0,horizon,1
2.1052631578947367,2.1467552093208924,0.0,horizon,1
2.1894736842105265,2.232464229767686,0.0,horizon,1
2.2736842105263158,2.318154325338232,0.0,horizon,1
2.294736842105263,2.3395738077662305,0.0,horizon,1
2.3157894736842106,2.3609920511035956,3.7172889429809127e-06,horizon,1
2.336842105263158,2.3824090441036354,6.64130173011755e-05,horizon,1
2.357894736842105,2.403824775522958,0.00019819943447025795,horizon,1
2.3789473684210525,2.4252392341215017,0.0003892610807666205,horizon,1
2.4,2.446652408662565,0.0006308925739865075,horizon,1
2.4210526315789473,2.4680642879128354,0.0009153763186223421,horizon,1
2.442105263157895,2.489474860642418,0.001235874059409054,horizon,1
2.4631578947368418,2.510884115624866,0.0015863306392657295,horizon,1
2.484210526315789,2.53229204163721,0.001961388526052173,horizon,1
2.5052631578947366,2.553698627459985,0.002356311850244024,horizon,1
2.526315789473684,2.5751038618772593,0.0027669188501060486,horizon,1
2.568421052631579,2.6179102316494363,0.0036208732582725814,horizon,1
2.610526315789474,2.660711061298099,0.004498754162200331,horizon,1
2.6526315789473687,2.703506261226022,0.005381704906712838,horizon,1
2.694736842105263,2.7462957418953184,0.006255353946906653,horizon,1
2.7789473684210524,2.8318571876087617,0.007934345983839611,horizon,1
2.863157894736842,2.9173946833573443,0.00947980935276089,horizon,1
2.9473684210526314,3.002907515068566,0.010864914430375305,horizon,1
3.031578947368421,3.0883949697079225,0.012080797195551694,horizon,1
3.1157894736842104,3.173856335308219,0.013129416517165678,horizon,1
3.1999999999999997,3.259290900998781,0.014018974099955743,horizon,1
3.2842105263157895,3.344697957034546,0.01476099217357318,horizon,1
3.3684210526315788,3.4300767948250654,0.015368467382686525,horizon,1
3.4526315789473685,3.5154267069633742,0.015854724346865245,horizon,1
3.4588898471338863,3.5217684766000885,0.01588638435553743,horizon,1
3.468438197298507,3.5314439104148314,0.015933548976299564,horizon,1
3.4779865474631277,3.541118961562967,0.01597935295370883,horizon,1
3.4875348976277487,3.550793629016371,0.016023814434489726,horizon,1
3.4970832477923697,3.5604679117471245,0.016066951421898297,horizon,1
3.50663159795699,3.5701418087275165,0.016108781771619535,horizon,1
3.5096628773194416,3.5732128641363206,0.01612179111078713,horizon,1
3.516179948121611,3.5798153189300446,0.016149323188003332,horizon,1
3.525728298286232,3.5894884413274135,0.016188593220599404,horizon,1
3.5352766484508527,3.599161174892535,0.01622660926097552,horizon,1
3.536842105263158,3.6007469872547584,0.016232723548312594,horizon,1
3.5448249986154736,3.608833518598535,0.016263388539804663,horizon,1
3.5543733487800946,3.618505471418743,0.016298948124206753,horizon,1
3.5581202958258507,3.6223008153890084,0.016312572815791942,horizon,1
3.563921698944715,3.628177032326701,0.016333304915331456,horizon,1
