rho,alpha,b,Iobs_over_I0,direct,lensing_ring,photon_ring,intersection_count,termination_reason,phi_end
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,axis,0.0
0.03611848277,0.0038096388541596286,0.054216379734804976,0,0.0,0.0,0.0,0,horizon,0.019671114274578887
0.07223696554,0.0076191671302985485,0.10843039897451977,0,0.0,0.0,0.0,0,horizon,0.03934465262214034
0.10835544831,0.011428474269652567,0.16263969773788037,0,0.0,0.0,0.0,0,horizon,0.059023041056394894
0.144473931079,0.015237449751856695,0.2168419170695139,0,0.0,0.0,0.0,0,horizon,0.07870870947585602
0.180592413849,0.019045983114598337,0.27103469955898424,0,0.0,0.0,0.0,0,horizon,0.09840409361843955
0.216710896619,0.02285396397219082,0.32521568984405064,0,0.0,0.0,0.0,0,horizon,0.1181116370223483
0.252829379389,0.026661282035167978,0.37938253512788933,0,0.0,0.0,0.0,0,horizon,0.13783379300812182
0.288947862159,0.030467827129309757,0.4335328856875146,0,0.0,0.0,0.0,0,horizon,0.1575730266777183
0.325066344929,0.03427348921472316,0.48766439538214096,0,0.0,0.0,0.0,0,horizon,0.177331816938012
0.361184827698,0.038078158404759546,0.5417747221582345,0,0.0,0.0,0.0,0,horizon,0.19711265855182014
0.397303310468,0.04188172498539217,0.5958615285599876,0,0.0,0.0,0.0,0,horizon,0.21691806422406135
0.433421793238,0.04568407943346565,0.6499224822224908,0,0.0,0.0,0.0,0,horizon,0.23675056671926675
0.469540276008,0.04948511243591616,0.7039552563773176,0,0.0,0.0,0.0,0,horizon,0.2566127209971342
0.505658758778,0.053284714908374234,0.757957530347799,0,0.0,0.0,0.0,0,horizon,0.2765071065228302
0.541777241548,0.057082778013774135,0.8119269900427325,0,0.0,0.0,0.0,0,horizon,0.2964363293171549
0.577895724317,0.06087919318075173,0.8658613284452904,0,0.0,0.0,0.0,0,horizon,0.3164030246331809
0.614014207087,0.0646738521224535,0.9197582461058501,0,0.0,0.0,0.0,0,horizon,0.3364098589109611
0.650132689857,0.06846664685417245,0.9736154516161047,0,0.0,0.0,0.0,0,horizon,0.35645953248102924
0.686251172627,0.07225746971190573,1.0274306620940972,0,0.0,0.0,0.0,0,horizon,0.376554782020471
0.722369655397,0.07604621337024951,1.081201603657536,0,0.0,0.0,0.0,0,horizon,0.39669838314904066
0.758488138167,0.07983277086025453,1.1349260118941369,0,0.0,0.0,0.0,0,horizon,0.4168931531115727
0.794606620937,0.08361703558713003,1.1886016323272692,0,0.0,0.0,0.0,0,horizon,0.4371419535530085
0.830725103706,0.08739890134768412,1.2422262208752086,0,0.0,0.0,0.0,0,horizon,0.45744769339275504
0.866843586476,0.09117826234812187,1.2957975443126886,0,0.0,0.0,0.0,0,horizon,0.47781333180945534
0.902962069246,0.09495501322062343,1.3493133807122688,0,0.0,0.0,0.0,0,horizon,0.49824188133592107
0.939080552016,0.09872904904079008,1.4027715198950226,0,0.0,0.0,0.0,0,horizon,0.5187364110841777
0.975199034786,0.10250026534438032,1.4561697638680542,0,0.0,0.0,0.0,0,horizon,0.5393000501014553
1.011317517556,0.10626855814395836,1.509505927257577,0,0.0,0.0,0.0,0,horizon,0.5599359908703931
1.047436000325,0.1100338239452393,1.5627778377343966,0,0.0,0.0,0.0,0,horizon,0.5806474929628797
1.083554483095,0.11379595976375055,1.6159833364404579,0,0.0,0.0,0.0,0,horizon,0.6014378868609099
1.119672965865,0.11755486314023979,1.6691202783941717,0,0.0,0.0,0.0,0,horizon,0.6223105781148489
1.155791448635,0.12131043215690844,1.7221865329038273,0,0.0,0.0,0.0,0,horizon,0.6432690508913474
1.191909931405,0.12506256545290131,1.7751799839668108,0,0.0,0.0,0.0,0,horizon,0.6643168733208866
1.228028414175,0.12881116223967254,1.8280985306633155,0,0.0,0.0,0.0,0,horizon,0.6854577016423824
1.264146896944,0.1325561223160141,1.8809400875414466,0,0.0,0.0,0.0,0,horizon,0.7066952845389856
1.300265379714,0.13629734608336433,1.9337025850023515,0,0.0,0.0,0.0,0,horizon,0.7280334692554383
1.336383862484,0.14003473455983587,1.9863839696632881,0,0.0,0.0,0.0,0,horizon,0.7494762062860787
1.372502345254,0.14376818939503216,2.0389822047277533,0,0.0,0.0,0.0,0,horizon,0.7710275552089152
1.408620828024,0.14749761288409247,2.0914952703405922,0,0.0,0.0,0.0,0,horizon,0.7926916904850643
1.444739310794,0.15122290798158264,2.1439211639367386,0,0.0,0.0,0.0,0,horizon,0.8144729085347685
