rho,alpha,b,Iobs_over_I0,direct,lensing_ring,photon_ring,intersection_count,termination_reason,phi_end
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,axis,0.0
0.034531007964,0.003605306907194947,0.050164275595084774,0,0.0,0.0,0.0,0,horizon,0.019170672125884643
0.069062015929,0.007210520091657022,0.10032659511574063,0,0.0,0.0,0.0,0,horizon,0.03834371380204034
0.103593023893,0.010815545844957707,0.15048500286452768,0,0.0,0.0,0.0,0,horizon,0.05752149655227225
0.138124031857,0.014420290488211172,0.20063754391088515,0,0.0,0.0,0.0,0,horizon,0.07670639571316865
0.172655039822,0.018024660386361486,0.25078226446759927,0,0.0,0.0,0.0,0,horizon,0.09590079212030246
0.207186047786,0.021628561962452917,0.30091721226675466,0,0.0,0.0,0.0,0,horizon,0.11510707442742504
0.24171705575,0.025231901712816893,0.3510404369480626,0,0.0,0.0,0.0,0,horizon,0.1343276407848123
0.276248063715,0.02883458622129099,0.40114999043325245,0,0.0,0.0,0.0,0,horizon,0.15356490085055818
0.310779071679,0.03243652217340421,0.4512439272994348,0,0.0,0.0,0.0,0,horizon,0.17282127776545395
0.345310079643,0.0360376163714615,0.5013203051643164,0,0.0,0.0,0.0,0,horizon,0.1920992101603308
0.379841087608,0.03963777574864394,0.551377185056977,0,0.0,0.0,0.0,0,horizon,0.21140115419005578
0.414372095572,0.043236907383058486,0.6014126317871107,0,0.0,0.0,0.0,0,horizon,0.23072958560352144
0.448903103536,0.046834918512669806,0.651424714325601,0,0.0,0.0,0.0,0,horizon,0.250087001859152
0.483434111501,0.05043171654923167,0.7014115061701689,0,0.0,0.0,0.0,0,horizon,0.2694759242403241
0.517965119465,0.05402720909215176,0.7513710857089912,0,0.0,0.0,0.0,0,horizon,0.28889890021866926
0.552496127429,0.057621303943221305,0.8013015365951417,0,0.0,0.0,0.0,0,horizon,0.30835850548733307
0.587027135394,0.061213909120328994,0.8512009481056345,0,0.0,0.0,0.0,0,horizon,0.32785734628979374
0.621558143358,0.06480493287109254,0.9010674154979592,0,0.0,0.0,0.0,0,horizon,0.3473980623171582
0.656089151322,0.06839428368733799,0.9508990403769394,0,0.0,0.0,0.0,0,horizon,0.3669833283816022
0.690620159287,0.07198187031854883,1.0006939310457412,0,0.0,0.0,0.0,0,horizon,0.38661585746897037
0.725151167251,0.07556760178521738,1.050450202853919,0,0.0,0.0,0.0,0,horizon,0.4062984032120881
0.759682175215,0.07915138739302746,1.1001659785552929,0,0.0,0.0,0.0,0,horizon,0.4260337626236587
0.79421318318,0.08273313674599296,1.1498393886495581,0,0.0,0.0,0.0,0,horizon,0.44582477889748096
0.828744191144,0.08631275975948413,1.1994685717204876,0,0.0,0.0,0.0,0,horizon,0.46567434432325505
0.863275199108,0.08989016667406884,1.249051674783502,0,0.0,0.0,0.0,0,horizon,0.48558540331431194
0.897806207072,0.09346526806819354,1.2985868536151417,0,0.0,0.0,0.0,0,horizon,0.5055609555560736
0.932337215037,0.09703797487135898,1.348072273087318,0,0.0,0.0,0.0,0,horizon,0.5256040593416318
0.966868223001,0.10060819837654274,1.3975061074889819,0,0.0,0.0,0.0,0,horizon,0.5457178347403393
1.001399230965,0.1041758502535197,1.4468865408580056,0,0.0,0.0,0.0,0,horizon,0.5659054675957611
1.03593023893,0.10774084256111056,1.4962117672959256,0,0.0,0.0,0.0,0,horizon,0.5861702129576593
1.070461246894,0.11130308775928617,1.545479991278348,0,0.0,0.0,0.0,0,horizon,0.6065153990117399
