rho,alpha,b,Iobs_over_I0,direct,lensing_ring,photon_ring,intersection_count,termination_reason,phi_end
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,axis,0.0
0.031706162556,0.002094466719789383,0.08444914713646208,0,0.0,0.0,0.0,0,horizon,0.019757913382079235
0.063412325113,0.004188915063831202,0.16889718290594682,0,0.0,0.0,0.0,0,horizon,0.03951784459496113
0.095118487669,0.006283326657147022,0.2533429960066144,0,0.0,0.0,0.0,0,horizon,0.059281812849820585
0.126824650226,0.008377683126957115,0.3377854752935232,0,0.0,0.0,0.0,0,horizon,0.07905184039603298
0.158530812782,0.010471966103118934,0.4222235098304169,0,0.0,0.0,0.0,0,horizon,0.09882995390475208
0.190236975339,0.012566157219622082,0.506655988984091,0,0.0,0.0,0.0,0,horizon,0.1186181859918253
0.221943137895,0.014660238115025936,0.5910818024761042,0,0.0,0.0,0.0,0,horizon,0.1384185767118197
0.253649300452,0.016754190433953424,0.6754998404770407,0,0.0,0.0,0.0,0,horizon,0.15823317509387785
0.285355463008,0.018847995827527306,0.7599089936581009,0,0.0,0.0,0.0,0,horizon,0.17806404066695253
0.317061625565,0.02094163595486223,0.8443081532852157,0,0.0,0.0,0.0,0,horizon,0.19791324502668425
0.348767788121,0.023035092483499185,0.9286962112704716,0,0.0,0.0,0.0,0,horizon,0.2177828734120695
0.380473950678,0.025128347090895328,1.0130720602660321,0,0.0,0.0,0.0,0,horizon,0.23767502631982243
0.412180113234,0.027221381464856094,1.097434593715355,0,0.0,0.0,0.0,0,horizon,0.25759182113930734
0.443886275791,0.029314177305022275,1.1817827059468713,0,0.0,0.0,0.0,0,horizon,0.27753539382697795
0.475592438347,0.03140671632329935,1.2661152922249554,0,0.0,0.0,0.0,0,horizon,0.2975079006160303
0.507298600904,0.033498980245341245,1.3504312488433174,0,0.0,0.0,0.0,0,horizon,0.31751151977013786
0.53900476346,0.03559095081097638,1.434729473175678,0,0.0,0.0,0.0,0,horizon,0.337548453374204
0.570710926016,0.037682609775621705,1.519008863766175,0,0.0,0.0,0.0,0,horizon,0.35762092918697047
0.602417088573,0.03977393891103479,1.6032683203929914,0,0.0,0.0,0.0,0,horizon,0.3777312025236154
0.634123251129,0.04186492000606391,1.6875067441318095,0,0.0,0.0,0.0,0,horizon,0.39788155784171414
0.665829413686,0.043955534868055465,1.771723037445632,0,0.0,0.0,0.0,0,horizon,0.41807431268198597
0.697535576242,0.04604576532326962,1.8559161042345436,0,0.0,0.0,0.0,0,horizon,0.4383118158878693
0.729241738799,0.04813559321834872,1.9400848499277503,0,0.0,0.0,0.0,0,horizon,0.45859645334115007
0.760947901355,0.05022500042072794,2.0242281815329006,0,0.0,0.0,0.0,0,horizon,0.4789306497153397
0.792654063912,0.052313968820098075,2.1083450077276384,0,0.0,0.0,0.0,0,horizon,0.49931686826986543
0.824360226468,0.054402480328810926,2.1924342389084455,0,0.0,0.0,0.0,0,horizon,0.5197576161737351
0.856066389025,0.05649051688333591,2.276494787281667,0,0.0,0.0,0.0,0,horizon,0.5402554455506587
0.887772551581,0.0585780604446596,2.3605255669118304,0,0.0,0.0,0.0,0,horizon,0.5608129563838287
0.919478714138,0.06066509299973585,2.4445254938121033,0,0.0,0.0,0.0,0,horizon,0.5814327992361183
0.951184876694,0.06275159656187895,2.5284934859920494,0,0.0,0.0,0.0,0,horizon,0.6021176780862946
0.982891039251,0.0648375531722067,2.612428463547475,0,0.0,0.0,0.0,0,horizon,0.6228703533022666
1.014597201807,0.0669229449000269,2.696329348707585,0,0.0,0.0,0.0,0,horizon,0.6436936447411779
1.046303364364,0.06900775384427282,2.780195065924178,0,0.0,0.0,0.0,0,horizon,0.6645904350071227
1.07800952692,0.0710919621338825,2.8640245419181567,0,0.0,0.0,0.0,0,horizon,0.6855636728563029
1.109715689476,0.07317555192916059,2.9478167057653977,0,0.0,0.0,0.0,0,horizon,0.7066163767808643
