rho,alpha,b,Iobs_over_I0,direct,lensing_ring,photon_ring,intersection_count,termination_reason,phi_end
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,axis,0.0
0.036386442855,0.0038477907541533034,0.05505745483490442,0,0.0,0.0,0.0,0,horizon,0.019743767160836444
0.07277288571,0.007695467574796827,0.1101124643049377,0,0.0,0.0,0.0,0,horizon,0.03948996351098982
0.109159328564,0.011542916548555264,0.16516258358673,0,0.0,0.0,0.0,0,horizon,0.05924102018368645
0.145545771419,0.015390023802841934,0.2202053689471974,0,0.0,0.0,0.0,0,horizon,0.07899937220658387
0.181932214274,0.019236675525437615,0.2752383782766347,0,0.0,0.0,0.0,0,horizon,0.09876746045467605
0.218318657129,0.0230827579850998,0.330259171636095,0,0.0,0.0,0.0,0,horizon,0.11854773362037971
0.254705099984,0.026928157551607382,0.38526531179608126,0,0.0,0.0,0.0,0,horizon,0.13834265019664765
0.291091542838,0.030772760715760683,0.44025436477383906,0,0.0,0.0,0.0,0,horizon,0.1581546804798668
0.327477985693,0.03461645410985601,0.4952239003765261,0,0.0,0.0,0.0,0,horizon,0.1779863086132069
0.363864428548,0.03845912452704115,0.5501714927273135,0,0.0,0.0,0.0,0,horizon,0.19784003460127794
0.400250871403,0.04230065894165627,0.6050947208043744,0,0.0,0.0,0.0,0,horizon,0.21771837641294778
0.436637314257,0.046140944528860854,0.6599911689683033,0,0.0,0.0,0.0,0,horizon,0.23762387216288353
0.473023757112,0.049979868684805376,0.7148584274958214,0,0.0,0.0,0.0,0,horizon,0.25755908220012635
0.509410199967,0.05381731904565031,0.7696940930953565,0,0.0,0.0,0.0,0,horizon,0.2775265913536642
0.545796642822,0.05765318350753488,0.8244957694344113,0,0.0,0.0,0.0,0,horizon,0.2975290112061621
0.582183085677,0.0614873502459038,0.8792610676558209,0,0.0,0.0,0.0,0,horizon,0.31756898239187425
0.618569528531,0.06531970773471198,0.9339876068901988,0,0.0,0.0,0.0,0,horizon,0.33764917699130154
0.654955971386,0.06915014476602473,0.9886730147718222,0,0.0,0.0,0.0,0,horizon,0.3577723009790777
0.691342414241,0.07297855046842631,1.0433149279351555,0,0.0,0.0,0.0,0,horizon,0.3779410967427198
0.727728857096,0.07680481432633475,1.0979109925218395,0,0.0,0.0,0.0,0,horizon,0.39815834568624614
0.764115299951,0.0806288261986351,1.152458864675344,0,0.0,0.0,0.0,0,horizon,0.41842687091690894
0.800501742805,0.08445047633715094,1.206956211030576,0,0.0,0.0,0.0,0,horizon,0.43874954002467936
0.83688818566,0.08826965540547048,1.261400709205684,0,0.0,0.0,0.0,0,horizon,0.459129267964571
0.873274628515,0.09208625449654498,1.3157900482733713,0,0.0,0.0,0.0,0,horizon,0.4795690200411427
0.90966107137,0.09590016515115245,1.3701219292414468,0,0.0,0.0,0.0,0,horizon,0.5000718150145449
0.946047514225,0.09971127937564421,1.4243940655199276,0,0.0,0.0,0.0,0,horizon,0.5206407283284564
0.982433957079,0.10351948965949227,1.478604183381975,0,0.0,0.0,0.0,0,horizon,0.5412788954719692
1.018820399934,0.10732468899315414,1.5327500224258968,0,0.0,0.0,0.0,0,horizon,0.5619895154881795
1.055206842789,0.11112677088467802,1.5868293360156702,0,0.0,0.0,0.0,0,horizon,0.582775854631546
1.091593285644,0.11492562937713544,1.6408398917295839,0,0.0,0.0,0.0,0,horizon,0.6036412501966822
1.127979728498,0.11872115906520014,1.6947794717929738,0,0.0,0.0,0.0,0,horizon,0.6245891145216197
1.164366171353,0.1225132551121215,1.7486458735127077,0,0.0,0.0,0.0,0,horizon,0.6456229391854118
1.200752614208,0.1263018132654162,1.8024369096895043,0,0.0,0.0,0.0,0,horizon,0.6667462994073565
1.237139057063,0.13008672987335984,1.8561504090375796,0,0.0,0.0,0.0,0,horizon,0.6879628586594477
1.273525499918,0.1338679019007067,1.9097842165892012,0,0.0,0.0,0.0,0,horizon,0.7092763735363419
1.309911942772,0.13764522694415535,1.9633361940914233,0,0.0,0.0,0.0,0,horizon,0.730690698854883
1.346298385627,0.14141860324807262,2.016804220402194,0,0.0,0.0,0.0,0,horizon,0.7522097925024757
1.382684828482,0.14518792971891398,2.0701861918636113,0,0.0,0.0,0.0,0,horizon,0.7738377232118863
1.419071271337,0.14895310594041217,2.123480022681637,0,0.0,0.0,0.0,0,horizon,0.7955786734665427
1.455457714192,0.15271403218797086,2.1766836452900344,0,0.0,0.0,0.0,0,horizon,0.8174369478403315
1.491844157046,0.1564706094427799,2.229795010705799,0,0.0,0.0,0.0,0,horizon,0.8394169791989581
1.528230599901,0.16022273940616277,2.2828120888832366,0,0.0,0.0,0.0,0,horizon,0.8615233357753922
1.564617042756,0.1639703245126033,2.335732869044685,0,0.0,0.0,0.0,0,horizon,0.8837607290281025
1.601003485611,0.16771326794351354,2.388555360016971,0,0.0,0.0,0.0,0,horizon,0.9061340202128336
1.637389928466,0.17145147364018953,2.4412775905516066,0,0.0,0.0,0.0,0,horizon,0.9286482309508892
1.67377637132,0.17518484631646877,2.4938976096359493,0,0.0,0.0,0.0,0,horizon,0.951308550625051
1.710162814175,0.17891329147159854,2.5464134868024493,0,0.0,0.0,0.0,0,horizon,0.9741203469504119
1.74654925703,0.18263671540177268,2.5988233124142313,0,0.0,0.0,0.0,0,horizon,0.9970891751722621
1.782935699885,0.1863550252123867,2.6511251979558565,0,0.0,0.0,0.0,0,horizon,1.0202207898545188
1.819322142739,0.19006812882936702,2.7033172763060755,0,0.0,0.0,0.0,0,horizon,1.043521155270179
1.855708585594,0.19377593501079937,2.755397702009792,0,0.0,0.0,0.0,0,horizon,1.0669964590467576
1.892095028449,0.19747835335722197,2.8073646515262447,0,0.0,0.0,0.0,0,horizon,1.0906531255416818
1.928481471304,0.20117529432262188,2.8592163234820465,0,0.0,0.0,0.0,0,horizon,1.1144978275787853
1.964867914159,0.20486666922460148,2.91095093890752,0,0.0,0.0,0.0,0,horizon,1.1385375054175997
2.001254357013,0.2085523902542255,2.962566741463503,0,0.0,0.0,0.0,0,horizon,1.162779379864574
2.037640799868,0.21223237048605242,3.0140619976656775,0,0.0,0.0,0.0,0,horizon,1.1872309712638578
2.074027242723,0.2159065238868292,3.065434997085118,0,0.0,0.0,0.0,0,horizon,1.2119001179467952
2.110413685578,0.21957476532487563,3.1166840525534476,0,0.0,0.0,0.0,0,horizon,1.23679499671337
2.146800128433,0.22323701057863676,3.1678075003512975,0,0.0,0.0,0.0,0,horizon,1.261924144271356
2.183186571287,0.22689317634491085,3.218803700387197,0,0.0,0.0,0.0,0,horizon,1.287296481560117
2.219573014142,0.23054318024725365,3.2696710363738943,0,0.0,0.0,0.0,0,horizon,1.3129213383397547
2.255959456997,0.2341869408430521,3.320407915981105,0,0.0,0.0,0.0,0,horizon,1.338808481371528
2.292345899852,0.2378243776312771,3.371012770992747,0,0.0,0.0,0.0,0,horizon,1.3649681441284895
2.328732342706,0.24145541105930793,3.4214840574462713,0,0.0,0.0,0.0,0,horizon,1.3914110592246507
2.365118785561,0.24507996253003123,3.4718202557708704,0,0.0,0.0,0.0,0,horizon,1.4181484937077744
2.401505228416,0.24869795440761666,3.522019870902381,0,0.0,0.0,0.0,0,horizon,1.44519228758522
2.437891671271,0.2523093100239676,3.572081432402699,0,0.0,0.0,0.0,0,horizon,1.472554894832739
2.474278114126,0.25591395368434894,3.62200349456292,0,0.0,0.0,0.0,0,horizon,1.5002494299644822
