family,map_name,m_minus,m_plus,q_minus,q_plus,lambda_minus,lambda_plus,shell_radius,observer_radius,admitted,rejection_reasons,warnings,surface_energy_density,surface_pressure,q_jump,lambda_jump,photon_sphere_classification,inner_photon_spheres,outer_photon_spheres
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.016363636363636365,3.4545454545454546,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.002487255943835823,-6.49143274879367e-05,0.0,0.006363636363636365,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.01818181818181818,3.4545454545454546,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.002626935978469636,-0.0002317473352479972,0.0,0.00818181818181818,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.02,3.4545454545454546,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.002768058242016929,-0.000400872398866121,0.0,0.01,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.0,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0007279069023158238,0.0012257149597980296,0.0,-0.01,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.0018181818181818182,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0008630762927978735,0.0010575001870513825,0.0,-0.008181818181818182,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.0036363636363636364,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0009995513616237906,0.0008870128131677872,0.0,-0.006363636363636364,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.005454545454545455,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0011373706929199189,0.0007141661607611625,0.0,-0.004545454545454545,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.007272727272727273,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0012765748094344916,0.0005388681968651715,0.0,-0.0027272727272727275,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.00909090909090909,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.001417206311707632,0.00036102107515710737,0.0,-0.0009090909090909097,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.01090909090909091,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0015593100303562958,0.00018052062798850586,0.0,0.0009090909090909097,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.012727272727272728,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0017029331930171236,-2.7441985304402753e-06,0.0,0.0027272727272727275,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.014545454545454545,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0018481256077094179,-0.00018889197422815857,0.0,0.004545454545454545,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.016363636363636365,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0019949398646363736,-0.00037804948847133867,0.0,0.006363636363636365,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.01818181818181818,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0021434315587426683,-0.0005703525383189081,0.0,0.00818181818181818,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.02,3.909090909090909,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.00229365953569888,-0.0007659468137138628,0.0,0.01,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.0,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0003442412169840034,0.0012158074171640275,0.0,-0.01,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.0018181818181818182,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.00048770456435324875,0.0010301155513185165,0.0,-0.008181818181818182,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.0036363636363636364,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0006327318736401926,0.0008414634983951541,0.0,-0.006363636363636364,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.005454545454545455,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0007793754366052919,0.0006497202905058036,0.0,-0.004545454545454545,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.007272727272727273,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0009276905256343482,0.0004547456292060005,0.0,-0.0027272727272727275,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.00909090909090909,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0010777356371581592,0.0002563889675757772,0.0,-0.0009090909090909097,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.01090909090909091,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0012295727612439238,5.4488476441737385e-05,0.0,0.0009090909090909097,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.012727272727272728,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0013832676808820978,-0.00015113012322661936,0.0,0.0027272727272727275,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.014545454545454545,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0015388903050671246,-0.00036065488304018917,0.0,0.004545454545454545,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.016363636363636365,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.001696515040456306,-0.000574289130374707,0.0,0.006363636363636365,inner_only,2.36619037897,
rnds,rnds_lambda_shell,0.8,1.0,0.2,0.2,0.01,0.01818181818181818,4.363636363636363,10.0,True,,lambda_mismatch_vacuum_discontinuity,0.0018562212072126764,-0.000792253182306308,0.0,0.00818181818181818,inner_only,2.36619037897,
