family,map_name,m_minus,m_plus,q_minus,q_plus,lambda_minus,lambda_plus,shell_radius,observer_radius,admitted,rejection_reasons,warnings,surface_energy_density,surface_pressure,q_jump,lambda_jump,photon_sphere_classification,inner_photon_spheres,outer_photon_spheres
rn,rn_mass_shell,0.4727272727272727,1.0,0.2,0.2,0.0,0.0,3.418181818181818,50.0,True,,,0.004790400796182891,0.0009668816013414035,0.0,,inner_only,1.35932926335,
rn,rn_mass_shell,0.5409090909090909,1.0,0.2,0.2,0.0,0.0,3.418181818181818,50.0,True,,,0.004238020094239689,0.0009102095627973948,0.0,,inner_only,1.57183122306,
rn,rn_mass_shell,0.6090909090909091,1.0,0.2,0.2,0.0,0.0,3.418181818181818,50.0,True,,,0.0036693529032974345,0.0008398633424426013,0.0,,inner_only,1.78238915066,
rn,rn_mass_shell,0.6772727272727272,1.0,0.2,0.2,0.0,0.0,3.418181818181818,50.0,True,,,0.003082867618632902,0.0007533562844941054,0.0,,inner_only,1.99165049158,
rn,rn_mass_shell,0.7454545454545454,1.0,0.2,0.2,0.0,0.0,3.418181818181818,50.0,True,,,0.002476776378270633,0.0006475711112644525,0.0,,inner_only,2.2,
rn,rn_mass_shell,0.8136363636363635,1.0,0.2,0.2,0.0,0.0,3.418181818181818,50.0,True,,,0.00184897069113609,0.0005185436702119039,0.0,,inner_only,2.40768211316,
rn,rn_mass_shell,0.8818181818181818,1.0,0.2,0.2,0.0,0.0,3.418181818181818,50.0,True,,,0.0011969346507286998,0.00036114965125400635,0.0,,inner_only,2.61486017534,
rn,rn_mass_shell,0.95,1.0,0.2,0.2,0.0,0.0,3.418181818181818,50.0,True,,,0.0005176253860541103,0.00016863858547350158,0.0,,inner_only,2.82164777235,
rn,rn_mass_shell,0.2,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.004998758376388234,0.0006201469866514757,0.0,,inner_only,0.4,
rn,rn_mass_shell,0.2681818181818182,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.004624455072248459,0.0006080478821187039,0.0,,inner_only,0.688320532906,
rn,rn_mass_shell,0.33636363636363636,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.004242569816761439,0.000591290694491885,0.0,,inner_only,0.922356555047,
rn,rn_mass_shell,0.40454545454545454,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.0038526223050685615,0.0005692888510397512,0.0,,inner_only,1.14368716564,
rn,rn_mass_shell,0.4727272727272727,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.0034540792724236996,0.0005413575275673213,0.0,,inner_only,1.35932926335,
rn,rn_mass_shell,0.5409090909090909,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.0030463459393795475,0.0005066921008683239,0.0,,inner_only,1.57183122306,
rn,rn_mass_shell,0.6090909090909091,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.002628755593744,0.00046434061120402374,0.0,,inner_only,1.78238915066,
rn,rn_mass_shell,0.6772727272727272,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.002200556787922042,0.00041316817702030206,0.0,,inner_only,1.99165049158,
