profile,b_over_M,Iobs_over_I0,direct,lensing_ring,photon_ring,intersection_count,termination_reason
top,4.04347826087,0.0,0.0,0.0,0.0,1,horizon
top,4.086956521739,0.0,0.0,0.0,0.0,1,horizon
top,4.130434782609,0.0,0.0,0.0,0.0,1,horizon
top,4.173913043478,0.0,0.0,0.0,0.0,1,horizon
top,4.217391304348,0.0,0.0,0.0,0.0,1,horizon
top,4.260869565217,0.0,0.0,0.0,0.0,1,horizon
top,4.304347826087,0.0,0.0,0.0,0.0,1,horizon
top,4.347826086957,0.0,0.0,0.0,0.0,1,horizon
top,4.391304347826,0.0,0.0,0.0,0.0,1,horizon
top,4.434782608696,0.0,0.0,0.0,0.0,1,horizon
top,4.478260869565,0.0,0.0,0.0,0.0,1,horizon
top,4.521739130435,0.0,0.0,0.0,0.0,1,horizon
top,4.565217391304,0.0,0.0,0.0,0.0,1,horizon
top,4.608695652174,0.0,0.0,0.0,0.0,1,horizon
top,4.652173913043,0.0,0.0,0.0,0.0,1,horizon
top,4.695652173913,0.0,0.0,0.0,0.0,1,horizon
top,4.739130434783,0.0,0.0,0.0,0.0,1,horizon
top,4.782608695652,0.0,0.0,0.0,0.0,1,horizon
top,4.826086956522,0.0,0.0,0.0,0.0,1,horizon
top,4.869565217391,0.0,0.0,0.0,0.0,1,horizon
top,4.913043478261,0.0,0.0,0.0,0.0,1,horizon
top,4.95652173913,0.0,0.0,0.0,0.0,1,horizon
top,5.0,0.0,0.0,0.0,0.0,1,horizon
top,5.02,0.0,0.0,0.0,0.0,2,horizon
top,5.023846153846,0.0,0.0,0.0,0.0,2,horizon
top,5.027692307692,0.0,0.0,0.0,0.0,2,horizon
top,5.031538461538,0.0,0.0,0.0,0.0,2,horizon
top,5.035384615385,0.0,0.0,0.0,0.0,2,horizon
top,5.039230769231,0.0,0.0,0.0,0.0,2,horizon
top,5.043076923077,0.0,0.0,0.0,0.0,2,horizon
top,5.04347826087,0.0,0.0,0.0,0.0,2,horizon
top,5.046923076923,0.0,0.0,0.0,0.0,2,horizon
top,5.050769230769,0.0,0.0,0.0,0.0,2,horizon
top,5.054615384615,0.0,0.0,0.0,0.0,2,horizon
top,5.058461538462,0.0,0.0,0.0,0.0,2,horizon
top,5.062307692308,0.0,0.0,0.0,0.0,2,horizon
top,5.066153846154,0.0,0.0,0.0,0.0,2,horizon
top,5.07,0.0,0.0,0.0,0.0,2,horizon
top,5.073846153846,0.0,0.0,0.0,0.0,2,horizon
top,5.077692307692,0.0,0.0,0.0,0.0,2,horizon
top,5.081538461538,0.0,0.0,0.0,0.0,2,horizon
top,5.085384615385,0.0,0.0,0.0,0.0,2,horizon
top,5.086956521739,0.0,0.0,0.0,0.0,2,horizon
top,5.089230769231,0.0,0.0,0.0,0.0,2,horizon
